Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Данькевич;Дмитро;Маркоович;Чоловіча;1987-03-11;Історик;селище Керч;площа Вишнева, буд. 867 кв. 7, Остер , 83966;+380 15 624 15 27;apetliura@example.net
Панчук;Омелян;Данович;Чоловіча;1978-12-31;Кушнір;хутір Бахмут;узвіз Поштова, буд. 406, Павлоград, 14153;+380 77 857-29-61;pdutka@example.com
Артимишин;Віра;Богуславаівна;Жіноча;1963-07-31;Гінеколог;місто Міусинськ;парк Чорноморського козацтва, буд. 531, Березань , 31982;046 362-82-77;tkhrystenko@example.net
Іщак;Макар;Зорянович;Чоловіча;1965-03-08;Геофізик;хутір Новомиргород;вулиця Карпатська, буд. 25, Ровеньки, 48888;017 431-68-93;vernyhorahennadii@example.net
Радченко;Олег;Вʼячеславович;Чоловіча;1991-05-15;Астрофізик;місто Золоте;сквер 10-та Лінія Марії Демченко, буд. 996 кв. 2, Березань , 73666;+380 13 430 66 54;liliiakaras@example.com
Карпенко;Пилип;Зиновійович;Чоловіча;1985-04-16;Локсмайстер;селище Маріуполь;набережна Палубний, буд. 20 кв. 9, Білозерське, 10726;042 43 26;ilchenkovadym@example.net
Кириленко;Гаврило;Іванович;Чоловіча;1975-02-22;Льотчик;місто Молочанськ;шосе Крушельницької, буд. 427 кв. 96, Рахів, 55402;875 84 30;hennadiizasenko@example.org
Салій;Юстина;Адаівна;Жіноча;1950-08-27;Гірник;селище Сєвєродонецьк;сквер Тираспольська, буд. 2, Красноград, 32365;025 762 41 90;danylo22@example.net
Назаренко;Кирило;Семенович;Чоловіча;1989-07-13;Стоматолог;місто Рожище;площа Армійська, буд. 85 кв. 286, Олевськ, 94844;029 454-82-55;marta66@example.net
Єрченко;Орися;Альбінаівна;Жіноча;1999-12-03;Сантехнік;село Новгород-Сіверський;набережна Шкільний, буд. 1, Дергачі, 64193;523-23-63;tfartushniak@example.com
Корпанюк;Віолетта;Марусяівна;Жіноча;1946-06-08;Економіст;хутір Енергодар;сквер Балтський 3-й, буд. 8 кв. 889, Армянськ, 50171;+380 (85) 619-76-77;somkoiefrem@example.com
Ісаєвич;Єлисавета;Віраівна;Жіноча;1966-06-19;Доцент;село Вилкове;набережна Лінія 48-ма, буд. 343, Вашківці, 36107;038 994 47 91;daryna94@example.org
Токар;Микита;Олесьович;Чоловіча;1956-05-21;Сценарист;селище Біла Церква;провулок Колонічна, буд. 6 кв. 87, Щолкіне, 70907;+380 (53) 452-34-73;leon42@example.org
Жадан;Дарина;Ганнаівна;Жіноча;1958-08-08;Пекар;місто Кам'янець-Подільський;узвіз Скидановська, буд. 06, Золотоноша, 23369;+380 76 892 59 79;fderevianko@example.org
Гаєвська;Ірина;Терезаівна;Жіноча;1974-07-01;Юрист;селище Вилкове;шосе 14-та ст. Великого Фонтану пляж, буд. 51, Дружківка, 52460;+380 (02) 598-08-03;erika09@example.net
Абрамчук;Едита;Алінаівна;Жіноча;1990-10-16;Астронавт;хутір Джанкой;узвіз Тетяни Тесс, буд. 3, Житомир, 55008;+380 67 461-71-35;vertyporokhspas@example.com
Ванченко;Кирило;Лесьович;Чоловіча;1962-05-05;Бібліограф;місто Славута;сквер Приморська, буд. 55, Хирів, 55006;570-94-48;azaronufriienko@example.net
Литвиненко;Віктор;Хомаович;Чоловіча;1972-11-14;Кінокритик;селище Берислав;узвіз Данькевича, буд. 169, Первомайський , 63211;+380 08 793-35-90;leonid11@example.org
Єрмоленко;Камілла;Розаліяівна;Жіноча;1973-07-03;Фотограф;хутір Пологи ;шосе Південна, буд. 2 кв. 384, Кілія, 96360;410-23-16;heorhii96@example.com
Бакуменко;Єфрем;Юстимович;Чоловіча;2005-11-02;Художник;місто Гірське;набережна Терещенка Володимира, буд. 6, Інкерман, 97004;+380 98 053 16 35;hlib06@example.net
Філіпенко;Ігор;Маркоович;Чоловіча;1956-08-20;Детектив;селище Вугледар;парк Лінія 22-га, буд. 3, Ізмаїл, 96505;+380 74 832 29 11;eduardzatula@example.net
Короленко;Ігнат;Ростиславович;Чоловіча;1989-05-09;Фольклорист;місто Біла Церква;проспект Свободи, буд. 5 кв. 076, Сарни, 19121;668 30 80;semenatroshchenko@example.com
Євтушок;Костянтин;Панасович;Чоловіча;1994-03-20;Гірничий інженер;село Мар'їнка;шосе Селекційний, буд. 71 кв. 784, Василівка , 49144;086 827 28 42;orkhyplytvyn@example.net
Ґереґа;Юхим;Єфремович;Чоловіча;1940-09-30;Скульптор;місто Ладижин;сквер Монастирський, буд. 35, Золочів, 51884;+380 (90) 644-93-51;amaliia68@example.net
Петрик;Хома;Леопольдович;Чоловіча;1940-09-16;Сантехнік;село Новий Буг;вулиця Сосюри, буд. 121 кв. 74, Алмазна, 98508;095 517-03-65;vasylshvachka@example.net
Юрчишин;Болеслав;Климентович;Чоловіча;1990-04-26;Дантист;місто Сколе;провулок Наявний 2-й, буд. 52 кв. 65, Кам'янка (Черкаська область), 44383;060 226-74-96;shvachkosviatoslav@example.net
Ребрик;Ірина;Анжелаівна;Жіноча;1994-12-17;Провізор;селище Верхньодніпровськ;провулок Стахановський 4-й, буд. 3, Хорол , 17542;+380 (04) 108-57-21;daryna65@example.net
Гаврилець;Святослава;Вікторіяівна;Жіноча;1974-02-27;Шериф;селище Жмеринка;шосе Восьмого Березня Лінія 3-тя, буд. 3, Знам'янка, 41661;+380 25 763-46-58;iefrem88@example.net
Палій;Василина;Ярославаівна;Жіноча;1992-02-08;Мірошник;селище Географія Вільнянська;шосе Святослава Ріхтера, буд. 9 кв. 1, Нова Каховка, 80595;049 385-21-50;nnestaiko@example.net
Цимбал;Богдан;Данилоович;Чоловіча;1997-06-30;Фольклорист;село Кодима;площа Сьома, буд. 0, Хмільник, 85883;+380 56 103-61-81;tereza39@example.org
Устенко;Костянтин;Демʼянович;Чоловіча;1992-03-12;Астронавт;село Кіцмань;сквер Успенський, буд. 3 кв. 245, Нововолинськ, 10551;+380 (85) 859-79-38;tsymbaliukiustym@example.net
Журавель;Пилип;Михайлоович;Чоловіча;2003-10-09;Модель;селище Тальне;провулок Бахчева, буд. 0, Заставна, 57295;025 327-73-35;iosyp34@example.net
Александренко;Яків;Зорянович;Чоловіча;2008-03-18;Електрик;село Турка;узвіз Академіка Векслера, буд. 6, Сколе, 65664;084 606 26 24;suprunenkoihnat@example.com
Матяш;Маруся;Софіяівна;Жіноча;1976-02-06;Детектив;місто Калинівка ;вулиця Морський 2-й, буд. 1 кв. 876, Березівка, 67397;+380 (41) 326-10-49;azar93@example.org
Ященко;Франц;Онисимович;Чоловіча;1967-12-28;Детектив;місто Борислав;площа Наявний 5-й, буд. 5, Сєвєродонецьк, 17014;459-68-69;ieva08@example.com
Дацюк;Богуслава;Віраівна;Жіноча;1971-07-28;Конструктор;хутір Полонне;шосе Сумський, буд. 130 кв. 12, Луганськ, 43613;+380 (40) 924-74-59;isaievychdanna@example.net
Ільєнко;Альбіна;Терезаівна;Жіноча;1944-08-20;Літературознавець;село Бахмут;площа Неплія, буд. 9 кв. 9, Гайсин, 45034;010 757 67 56;perebyinisiukhym@example.org
Гаврюшенко;Назар;Ігорович;Чоловіча;2001-01-22;Краєзнавець;хутір Миронівка;провулок Отамана Головатого, буд. 8, Пологи , 21814;788 00 96;alevtyndubyna@example.net
Заїка;Оксенія;Світланаівна;Жіноча;1952-01-04;Продюсер;місто Берислав;парк Восьмого березня 7-й, буд. 4 кв. 981, Керч, 11689;054 577 65 74;demiansvyrydenko@example.net
Сімашкевич;Єлисавета;Анжелаівна;Жіноча;1960-04-15;Геолог;селище Люботин;провулок Сінна, буд. 210, Дружківка, 26276;+380 80 136-06-11;sirkokostiantyn@example.net
